Species,chao,chao.se,jack1,jack1.se,jack2,boot,boot.se,n
291,451.59313725490193,33.3137858301423,411.6666666666667,90.26873458980381,460.6666666666667,347.14814814814815,44.256578254456855,3
471,867.75,68.15933194544971,701,110.73993558483468,842.3333333333334,571.4041280864197,51.29114101253427,6
656,1463.9820224719101,119.59108007973484,995.2,176.3659831146585,1209.55,802.44032,75.65040038425171,5
834,1391.218949044586,71.4580390327237,1196.25,220.6857211058296,1385.4166666666667,997.09765625,104.48139335310779,4
853,1405.7705627705627,72.39423330126644,1229.6666666666667,182.78098612516808,1448.8666666666666,1019.2282450274349,86.0507858710721,6
796,1455.504347826087,86.36337551813746,1177.6,202.22680336691278,1401.7,963.6656,90.47012422142457,5
968,1582.2948717948718,74.84420064947754,1399.6666666666667,226.67830852455987,1647.9333333333334,1158.7956532921812,110.33985407251525,6
621,1040.1296641791046,59.5466592701076,911.25,172.76338587791108,1060.0833333333333,752.03515625,79.33199335884663,4
846,1362.7832512315272,61.127573965353015,1220,264.89746443985956,1373.1666666666667,1019.7407407407408,122.37937147417541,3
1028,1822.9556650246304,88.09888319603779,1520,292.6217695250987,1780.3333333333333,1248.64453125,131.7101554483092,4
938,1677.7892287234042,85.12087582954817,1394.75,273.11913609265827,1636.5833333333333,1142.83984375,124.38144508416674,4
